,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Los Angeles Lakers,Portland Trail Blazers,0.0,1.2958329290031307,1.1866299444850688,2.354351958692819,1.2266634823116964,-2.380586682207735,2.0084380993167734,0,12/28/2020
1,Brooklyn Nets,Memphis Grizzlies,1.3073766831898628,0.06372948831163028,2.644489590566725,1.9976319649514833,0.7438278562953913,-2.107404603921602,1.9652458821271632,0,12/28/2020
2,Atlanta Hawks,Detroit Pistons,2.614753366379725,1.1471307896093283,-1.7290893476782423,1.4982239737136125,2.6360215258187543,0.5593728269668445,0.9934209953609825,1,12/28/2020
3,Denver Nuggets,Houston Rockets,0.0,-1.2745897662325874,-0.5085556904936009,-1.0344879818498753,-0.6916294102395737,1.118745653933689,-1.1229976469298089,1,12/28/2020
4,Oklahoma City Thunder,Utah Jazz,2.614753366379725,-0.6160517203457503,-0.6441705412918952,0.5975059895167383,-0.24794261876513107,-1.248832357879467,1.0798054297402009,0,12/28/2020
5,Philadelphia 76ers,Toronto Raptors,1.5403098878978794,-0.027838966209162937,2.2220576841678987,0.2761343821736948,-0.7920394417058317,-1.2654881835818328,-0.26052480089777985,1,12/29/2020
6,Phoenix Suns,New Orleans Pelicans,0.0,-2.032244533268867,-1.3934938019358012,1.165900724733378,1.353667409460877,-0.40125235089179956,1.160519567635565,1,12/29/2020
7,LA Clippers,Minnesota Timberwolves,0.0,-0.7794910538565524,1.9207617269925903,-0.5420415650076233,0.5760286848769687,1.3426520972148714,2.3210391352711275,1,12/29/2020
8,Cleveland Cavaliers,New York Knicks,1.5403098878978794,-1.0022027835298517,-0.4142819411160496,1.4931711036059052,-0.6768337047304385,-2.654438628976527,0.21315665528000172,0,12/29/2020
9,Miami Heat,Milwaukee Bucks,1.5403098878978794,-3.6190656071911302,1.468817791229628,0.46022397028949136,-0.3600179280481054,-1.404383228121301,1.397360295724456,0,12/29/2020
10,Detroit Pistons,Golden State Warriors,-1.5403098878978794,2.5611848912429522,1.5064797858765422,0.9613567379380484,0.6480322704865897,-0.7562063536037787,0.9473629123555631,0,12/29/2020
11,Indiana Pacers,Boston Celtics,3.0806197757957587,-0.6681351890199005,-0.4519439357629623,2.4647550408837198,1.5120752978020426,-2.1760223644516867,1.8710417519022347,0,12/29/2020
12,Sacramento Kings,Denver Nuggets,0.0,1.4197872766672879,0.6779159036444434,-0.6647679570848208,-2.0305011141913134,-1.2500554008552238,-1.042099203591117,1,12/29/2020
13,Washington Wizards,Chicago Bulls,0.0,0.02783896620916293,-2.5986776306370345,0.09204479405789823,0.7920394417058317,0.5555801781578767,-0.5921018202222244,0,12/29/2020
14,Oklahoma City Thunder,Orlando Magic,-1.5403098878978794,-0.7516520876473873,1.920761726992591,-0.7772671498222521,-1.8288910744843756,-0.6944752226973471,-0.7578903298844505,0,12/29/2020
15,San Antonio Spurs,Los Angeles Lakers,-0.6030274045313898,0.882624736854918,-0.31589179903836756,-1.6580432690251914,-2.239545529121008,-0.2647600686294217,-2.399447604564596,0,12/30/2020
16,Brooklyn Nets,Atlanta Hawks,-2.4084986755834548,-0.9605033901068237,1.184594246393878,-0.21256964987502447,-1.8410987785411979,-1.7598757503014606,-0.8997928517117244,1,12/30/2020
17,Boston Celtics,Memphis Grizzlies,-0.6030274045313897,-1.0643415944426962,0.8687024473555097,-0.6058235021438199,0.0,0.8877249359927707,0.42490217997498103,1,12/30/2020
18,LA Clippers,Portland Trail Blazers,-1.2024438665206754,-0.36343371517555434,2.329702017907958,-1.0628482493751223,-0.8106330442830633,0.1713153385249201,0.5998619011411497,1,12/30/2020
19,Miami Heat,Milwaukee Bucks,-0.6030274045313898,-3.86797311151126,1.9348372691100004,-4.060080312612968,-2.8440854265524464,2.523007712821564,-0.7998158681881994,1,12/30/2020
20,Dallas Mavericks,Charlotte Hornets,0.0,-1.58353261612206,-1.8558643193504079,1.5198729966064253,2.7479086246883537,0.809854327572352,2.7993555386586957,0,12/30/2020
21,Orlando Magic,Philadelphia 76ers,1.3021361428463272,-0.09023585493135722,-2.917297978444048,1.0084408097195254,2.514177126091973,1.2781159589590687,1.5452893297684795,0,12/31/2020
22,Houston Rockets,Sacramento Kings,-2.6081826044399414,-1.7445598620062586,0.25740864515682765,-0.7786694859859625,0.41141080245141426,1.4378804538289522,0.8946411909185951,1,12/31/2020
23,Utah Jazz,Phoenix Suns,-0.653023230796807,1.7746384803167097,2.917297978444049,-1.9019959575722691,-0.5485477366018863,1.629597847672813,-0.352434408543689,0,12/31/2020
24,Indiana Pacers,Cleveland Cavaliers,0.0,-1.022673022555392,0.1716057634378846,-0.33189191205959057,1.340894467249052,1.7094800951077525,1.6266203471247154,1,12/31/2020
25,Toronto Raptors,New York Knicks,-2.6081826044399414,-1.383616442280823,-2.0592691612546217,-1.1360915451270601,-1.2189949702264111,0.09585869692192928,-1.1657445821060453,1,12/31/2020
26,Washington Wizards,Chicago Bulls,-1.3021361428463276,0.8722799310031282,-1.0725360214867825,-0.5361330887116464,0.13713693415046996,0.7988224743494179,-0.5150964432561578,0,12/31/2020
27,Oklahoma City Thunder,New Orleans Pelicans,0.0,-0.7218868394508646,0.9009302580488973,1.110561398045553,1.3713693415047126,-0.20769384333084823,1.8435030600746778,0,12/31/2020
28,Golden State Warriors,Portland Trail Blazers,0.0,-1.02398912055171,-0.3714325440049536,-0.6020784281542925,-0.7286165975113648,-0.29996810422535447,-1.0272862467526642,0,01/01/2021
29,San Antonio Spurs,Los Angeles Lakers,-1.971082976033275,-0.11702732806305216,-1.160726700015479,-2.649145083878887,-2.4648944469001464,0.5849378032394419,-2.676351011276682,0,01/01/2021
30,Brooklyn Nets,Atlanta Hawks,-0.7893785539509761,-1.7554099209457887,0.8357232240111454,0.21407233001041504,-1.4107257526283852,-1.7698118149295907,-0.4055077289813158,0,01/01/2021
31,Detroit Pistons,Boston Celtics,-2.363408844164599,1.1117596165990007,-0.5107197480068106,-0.963325485046868,-0.5115818663377683,0.5399425876056371,-1.081353943950173,1,01/01/2021
32,Utah Jazz,LA Clippers,-1.971082976033275,1.6968962569142616,0.4642906800061925,-0.9365664437955661,-1.4107257526283854,-0.3899585354929599,-1.838301704715296,1,01/01/2021
33,Milwaukee Bucks,Chicago Bulls,0.0,1.8724372490088408,-1.439301108019194,2.0470666557245947,1.3642183102340435,-1.0048931491549378,0.21627078879003514,1,01/01/2021
34,Dallas Mavericks,Miami Heat,-1.5787571079019518,0.4973661442679742,-4.45719052805944,1.4048496656933491,0.8991438862906194,-0.6599298292957784,-1.0813539439501758,1,01/01/2021
35,Denver Nuggets,Phoenix Suns,-1.971082976033275,-0.4973661442679742,1.9964499240266245,-2.113964258852849,0.744119078309478,2.984682637042275,1.0543200953514213,0,01/01/2021
36,Minnesota Timberwolves,Washington Wizards,1.574030290213623,-0.029256832015763568,-0.5571488160074297,-1.444988227570302,-1.8137902533793522,-0.07499202605633859,-2.3519448280916295,0,01/01/2021
37,Charlotte Hornets,Memphis Grizzlies,1.5787571079019518,0.4973661442679743,0.3714325440049536,1.8196148050885284,0.279044654366054,-1.9347942722535367,0.5947446691725966,0,01/01/2021
38,Philadelphia 76ers,Charlotte Hornets,1.3461704108446697,0.4307346632314092,-0.10167250825606644,0.7689749190203432,0.04869818773840695,-0.708328513939033,0.5413827186815865,1,01/02/2021
39,Orlando Magic,Oklahoma City Thunder,2.6923408216893394,0.7999358031440447,-3.5077015348343052,1.5649314141466633,1.7531347585826662,-0.15178468155836272,0.3821525073046492,0,01/02/2021
40,Houston Rockets,Sacramento Kings,-0.8992418344442393,-1.2306704663754562,0.6608713036644338,-0.3102881252187349,0.47074914813793917,0.9107080893501835,1.401225860117047,1,01/02/2021
41,Indiana Pacers,New York Knicks,1.3461704108446697,-2.5536412177290706,-2.135122673377404,1.4300235336167781,1.9803929680285681,0.35416425696951537,2.3247610861032797,0,01/02/2021
42,Atlanta Hawks,Cleveland Cavaliers,1.3461704108446697,1.753705414585026,-1.6775963862251022,0.9173735876032164,3.295244036965568,2.293635187993057,2.229222959277117,0,01/02/2021
43,New Orleans Pelicans,Toronto Raptors,0.8992418344442393,0.8922360881222053,-0.7117075577924672,-0.283306549112758,0.25972366793817203,0.9613029832029735,-0.3821525073046492,1,01/02/2021
44,Golden State Warriors,Portland Trail Blazers,-1.4403436573269004,-1.3634360803515024,0.3143460174482563,-2.159998735716268,-1.8297783051931815,0.8977417692471026,-1.474440284403764,1,01/03/2021
45,San Antonio Spurs,Utah Jazz,-1.4403436573269002,-1.1155386111966845,-1.4669480814251976,-0.2945452821431276,-0.5778247279557416,-0.19949817094380057,-0.06857861787924502,0,01/03/2021
46,Chicago Bulls,Dallas Mavericks,-0.5761374629307601,-0.8056667747531611,2.8815051599423525,-1.6690899321443888,-0.46225978236459164,1.8952326239661055,0.4457610162150926,1,01/03/2021
47,Phoenix Suns,LA Clippers,1.1522749258615206,-0.4338205710209323,-0.7858650436206414,1.4446744790829582,-0.34669483677344437,-2.234379514570567,-0.3428930893962251,0,01/03/2021
48,Brooklyn Nets,Washington Wizards,1.1522749258615201,0.6197436728870467,-0.10478200581608604,0.36467511122482443,-0.44299895809940115,-0.9974908547190029,-0.342893089396225,0,01/03/2021
49,Detroit Pistons,Boston Celtics,-0.8642061943961402,1.2394873457740934,-0.41912802326434245,-0.5750645984699155,-0.404477309569018,0.17954835384942167,-1.3372830486452778,0,01/03/2021
50,Minnesota Timberwolves,Denver Nuggets,0.0,0.030987183644352823,-0.26195501454021375,-2.075842940818232,-2.6579937485964105,0.2593476222269402,-3.017459186686777,0,01/03/2021
51,Memphis Grizzlies,Los Angeles Lakers,-1.7284123887922807,-0.40283338737657937,0.36673702035629896,-2.2441545306143045,-2.407603033148923,0.7580930495864416,-2.605987479411307,0,01/03/2021
52,Philadelphia 76ers,Charlotte Hornets,2.4015908272068094,0.691589211395465,0.9116790672126189,1.5618896831953801,0.6642757115114295,-1.2725384715084957,1.6182175051517542,1,01/04/2021
53,Golden State Warriors,Sacramento Kings,1.2007954136034042,-0.8802044508669534,-0.5571372077410456,-0.6457813113211668,0.2149127301948728,1.2725384715084957,0.5394058350505861,1,01/04/2021
54,Orlando Magic,Cleveland Cavaliers,0.0,1.3517425495456812,-2.7856860387052294,-0.40549059082956973,1.3676264648764704,1.8093906391761425,-0.035960389003372395,1,01/04/2021
55,Houston Rockets,Dallas Mavericks,0.6003977068017021,-0.12574349298099297,1.4181674378862987,-0.42050876086029465,0.5861256278042015,0.9742872672486895,1.4743759491382646,0,01/04/2021
56,Miami Heat,Oklahoma City Thunder,0.6003977068017021,-1.8861523947149021,1.2662209266841953,-0.2252725504608719,0.19537520926806717,0.27836779064248435,1.0788116701011683,1,01/04/2021
57,Milwaukee Bucks,Detroit Pistons,2.401590827206809,0.3143587324524837,-0.20259534826947137,3.1688338764829345,2.090514739168319,-1.8889242936454216,2.481266841232692,1,01/04/2021
58,Atlanta Hawks,New York Knicks,0.0,-0.377230478942979,-2.2285488309641823,0.9161083718742131,2.598490283265293,1.6105565030029374,1.5822571161483818,0,01/04/2021
59,Toronto Raptors,Boston Celtics,-1.5009942670042558,0.8487685776217069,-1.1649232525494597,0.18021804036869768,-1.2308638183888228,-1.5111394349163363,-1.4384155601348922,0,01/04/2021
60,New Orleans Pelicans,Indiana Pacers,0.0,3.3950743104868253,0.3038930224042066,-0.8710538617820388,-1.4457765485836984,-0.11930048170392304,-2.3374252852192026,0,01/04/2021
61,Brooklyn Nets,Utah Jazz,-1.436760975149281,-1.8880964464490808,-0.8612130860243834,-0.20925565217495,0.23248720264779366,0.6054333889228702,0.9184065513884243,1,01/05/2021
62,LA Clippers,San Antonio Spurs,2.5129864246993043,-0.5349606598272404,1.1482841146991778,1.315321242242543,1.9955151560602502,0.35490922798926566,2.2790088497416416,0,01/05/2021
63,Portland Trail Blazers,Chicago Bulls,0.5381127247750115,0.4720241116122702,-2.755881875278027,0.5829264596302179,1.201183880346946,0.4592942950449358,-0.3061355171294748,0,01/05/2021
64,Denver Nuggets,Minnesota Timberwolves,1.0762254495500234,0.34615101518233204,0.34448523440975315,2.6904298136779294,2.6736028304496546,-0.7515724828008017,2.5851443668711163,1,01/05/2021
65,Memphis Grizzlies,Los Angeles Lakers,-2.3300280982758,-0.31468274107484673,0.5741420573495889,-2.780110807467193,-2.596107096233722,1.27349781807914,-2.6531744817887777,0,01/05/2021
