,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Los Angeles Lakers,San Antonio Spurs,-1.09924216318941,0.4724530472204461,0.5639792779213038,-2.0121190315335635,-0.4006079297838979,2.0204667404529952,-1.5687379491962377,0,11/01/2013
1,Phoenix Suns,Utah Jazz,2.19848432637882,0.9449060944408934,-1.8403534332168876,2.0368076086075946,1.5609895195027788,-0.48249952010817865,0.6991114773591919,1,11/01/2013
2,Brooklyn Nets,Miami Heat,-1.09924216318941,0.7524252233510815,-1.009226076280228,-1.0245759485723052,-1.022240924276157,0.13570299003042602,-1.8756649392563713,1,11/01/2013
3,Boston Celtics,Milwaukee Bucks,0.0,0.5074495692367762,-0.4749299182495197,0.1110985968331415,0.8702861922891596,0.8142179401825496,0.4944934839857712,0,11/01/2013
4,Orlando Magic,New Orleans Pelicans,0.0,-0.31496869814696526,0.47492991824951863,-0.222197193666283,-0.02762813308854517,0.30156220006761136,0.23872099226899302,1,11/01/2013
5,Houston Rockets,Dallas Mavericks,0.0,3.2371782865104692,0.44524679835892433,0.6912801580728807,-1.257080055528786,-2.2014040604935623,-2.0291284342864384,1,11/01/2013
6,Atlanta Hawks,Toronto Raptors,-2.19848432637882,-3.587143506673764,-0.9795429563896338,-1.8763318576263899,0.5111204621380785,3.015622000676114,1.909767938151942,1,11/01/2013
7,Sacramento Kings,Los Angeles Clippers,1.09924216318941,0.6299373962939294,-0.5639792779213049,0.3950172331845032,-1.9201552496538619,-2.6386692505916,-1.3300169569272446,0,11/01/2013
8,Denver Nuggets,Portland Trail Blazers,0.0,0.45495478621228247,1.6325715939827221,1.4319374702938241,-0.3039094639739929,-1.58320155035496,0.20461799337342257,0,11/01/2013
9,Minnesota Timberwolves,Oklahoma City Thunder,0.0,-0.13998608806531834,-0.14841559945297478,0.18516432805523592,0.9807987246433383,0.7237492801622669,-0.11936049613449648,1,11/01/2013
10,Washington Wizards,Philadelphia 76ers,-2.19848432637882,-0.06999304403265982,-0.08904935967178507,-1.8639875690893744,-1.063683123908974,0.9649990402163553,-1.278862458583889,0,11/01/2013
11,Memphis Grizzlies,Detroit Pistons,-2.19848432637882,0.24497565411430555,-1.3951066348579628,-2.296037667884925,-2.2655069132606696,0.331718420074373,-2.3701584232421427,1,11/01/2013
12,Charlotte Bobcats,Cleveland Cavaliers,-2.19848432637882,-1.9948017549307755,-1.899719672998077,-2.2713490908108933,-2.0997381147294023,0.663436840148746,-1.27886245858389,1,11/01/2013
13,Philadelphia 76ers,Chicago Bulls,1.5919799437791475,-1.2850457890823237,-0.8201765596784034,1.7493177875585109,2.2727923031656942,0.8474309045903021,1.83192798855081,1,11/02/2013
14,Golden State Warriors,Sacramento Kings,0.0,-0.8276566099174285,1.996951623564807,2.077314872725732,1.2868015245864601,-0.8643795226821095,2.6626860298703643,1,11/02/2013
15,Portland Trail Blazers,San Antonio Spurs,-1.5919799437791475,0.3920478678556252,-1.1411152134656044,-0.9058967114142287,0.952567362356211,1.8643479900986646,-0.36212530006236987,1,11/02/2013
16,Utah Jazz,Houston Rockets,-3.183959887558295,-0.7840957357112488,0.28527880336640155,-2.155409416813165,-2.139098638273595,0.3389723618361208,-1.9810384062235504,0,11/02/2013
17,Milwaukee Bucks,Toronto Raptors,0.0,-2.0038002134843023,0.2852788033664014,0.07809454408743352,0.18382878922663617,0.0847430904590302,0.7029491118857768,0,11/02/2013
18,Indiana Pacers,Cleveland Cavaliers,1.5919799437791475,-1.0672414180514214,1.5333735680944063,1.436939611208777,0.902432238021674,-0.7287905779476593,2.0875458474183652,1,11/02/2013
19,Dallas Mavericks,Memphis Grizzlies,0.0,-0.19602393392781192,-0.3565985042080014,0.39047272043716763,0.43450441089932557,-0.0677944723672228,0.46863274125718457,1,11/02/2013
20,New Orleans Pelicans,Charlotte Bobcats,-1.5919799437791475,1.3286066632885032,0.4992379058912022,-1.4837963376612373,0.28409903789571245,1.898245226282277,-0.17041190591170352,1,11/02/2013
21,Los Angeles Lakers,Atlanta Hawks,-0.5477889506660716,2.566120166062504,0.4028002597982887,-1.0764439007144266,-1.1324662404796784,-0.10419762965890311,-1.8015585091038544,1,11/03/2013
22,New York Knicks,Minnesota Timberwolves,-1.6400866786409334,-0.7128111572395847,2.1348413769309262,-1.243216899416662,-1.9251926088154516,-0.4688893334650692,-0.7030472230649197,0,11/03/2013
23,Orlando Magic,Brooklyn Nets,-0.5477889506660716,1.069216735859377,0.20140012989914396,0.5003189961067054,-0.032356178299419835,-0.5383544199043371,-0.13182135432467243,1,11/03/2013
